"(PDH-CSV 4.0) (RTZ 2 (","\\WIN-VJN76N11MDK\Процессор(_Total)\% загруженности процессора","\\WIN-VJN76N11MDK\Память\% использования выделенной памяти","\\WIN-VJN76N11MDK\Физический диск(_Total)\Средняя длина очереди диска"
"04/05/2026 08:06:03.594","100","77.843836713080264644","0.17058069831185737608"
"04/05/2026 08:06:08.893","100","77.899500652658630884","0.13391955223337884129"
"04/05/2026 08:06:14.272","100","77.921467641815894467","0.15450048557776763225"
"04/05/2026 08:06:19.767","100","78.148815333412215978","0.16580676510407713065"
"04/05/2026 08:06:25.001","100","78.248555417696138647","0.13446270838197749153"
"04/05/2026 08:06:30.515","100","78.340688831717869789","0.15304078307118784696"
"04/05/2026 08:06:35.771","100","78.340902104587513577","0.11673306527291180124"
"04/05/2026 08:06:41.380","100","78.150876955629996701","0.11837033350558430478"
"04/05/2026 08:06:47.020","100","78.136943205757276587","0.12165709498888767348"
"04/05/2026 08:06:52.360","100","78.188910423356318802","0.19247570911156686169"
"04/05/2026 08:06:57.779","100","78.202986362903132544","0.17645512519648018368"
"04/05/2026 08:07:03.032","100","77.49236486328122453","0.12860599962416419118"
"04/05/2026 08:07:08.235","100","77.509710955785052988","0.18258952830090724451"
"04/05/2026 08:07:13.400","100","77.465279348535759141","0.20484356142486825902"
"04/05/2026 08:07:19.046","100","77.150348056375591455","0.43262075472065691928"
"04/05/2026 08:07:24.843","100","77.440966357812513365","0.14025395724307998524"
"04/05/2026 08:07:29.866","100","77.447933232748866317","0.17735436992544809098"
"04/05/2026 08:07:35.027","100","77.505872067414657067","0.16010775324775197714"
"04/05/2026 08:07:40.318","100","77.639806731054520128","0.17782849098304590041"
"04/05/2026 08:07:45.336","100","77.507436060697642688","0.17668430464309484162"
"04/05/2026 08:07:50.354","100","77.544687520140939796","0.19872113120288523169"
"04/05/2026 08:07:55.550","100","77.098594111646207239","0.15002503719956924999"
"04/05/2026 08:08:00.720","100","76.367782865736572262","0.17057482549486011059"
"04/05/2026 08:08:05.763","100","75.359789439327968807","0.16973212689622030336"
"04/05/2026 08:08:10.813","97.060540363129973684","75.486757228031464706","0.21604580295462649797"
"04/05/2026 08:08:15.845","90.844216702242334804","75.389220955639430599","0.16092126263731490465"
"04/05/2026 08:08:20.873","97.979215803018902875","74.772936658648063712","0.18968675710998680883"
"04/05/2026 08:08:25.920","71.209527356580792912","74.771728104625765354","0.10533387081492773252"
"04/05/2026 08:08:30.932","56.357233768053191625","74.467460409381303066","0.05678160305875638858"
"04/05/2026 08:08:35.958","31.291371423927916595","74.525257054372985976","0.11294404204139336934"
"04/05/2026 08:08:40.963","31.783736905199887701","74.582911509690546836","0.054347045743402093432"
"04/05/2026 08:08:45.985","31.701766892901783734","74.814951181135825209","0.041905460937288883938"
"04/05/2026 08:08:51.028","24.40444733048160586","74.462484073467194889","0.017365859930095973312"
"04/05/2026 08:08:56.053","32.99461779935973027","74.236558185479722738","0.023340652970191947541"
"04/05/2026 08:09:01.063","16.876875120458358026","74.260586796854752833","0.013928863123679824723"
"04/05/2026 08:09:06.081","12.349376186119997101","74.239330709501956562","0.031767679841369349247"
"04/05/2026 08:09:11.110","13.32417685381182082","74.243169597872338272","0.012132994806439353908"
"04/05/2026 08:09:16.139","18.283437452952387758","74.247790494525759186","0.0049324539718132017971"
"04/05/2026 08:09:21.165","13.927419961225895761","74.251629382896155107","0.0056996777760792236706"
"04/05/2026 08:09:26.172","11.243459207616146145","74.246297584438309514","0.0084817734534451353495"
"04/05/2026 08:09:31.195","11.432871762678143313","74.251416110026511319","0.011702969563600364861"
"04/05/2026 08:09:36.204","14.521906071349533818","74.229520204064797895","0.0094645937705621612651"
"04/05/2026 08:09:41.218","17.725939379793999251","74.25681899167987865","0.01438266261956739657"
"04/05/2026 08:09:46.240","21.454873784993687025","74.149685486720343874","0.0092268182269108611065"
"04/05/2026 08:09:51.257","14.960646403751153954","74.139946064478706944","0.052067658680318817943"
"04/05/2026 08:09:56.289","13.214402889258025198","74.147837137372192728","0.039274032984264996282"
"04/05/2026 08:10:01.295","12.914548473807418105","74.135111918238720818","0.0096260000606089770464"
"04/05/2026 08:10:06.320","12.474484462214274316","74.113642558016266548","0.0069558153338007133737"
"04/05/2026 08:10:11.330","10.494573728230561116","74.116486188517058054","0.0080405038462658482562"
"04/05/2026 08:10:16.343","13.190307433561908823","74.083713412770009654","0.010961404085265503972"
"04/05/2026 08:10:21.357","13.059333246978500398","74.073831824137329249","0.0076344051603093659661"
"04/05/2026 08:10:26.391","13.252296937649532538","74.080585426204038413","0.014785349273726256653"
"04/05/2026 08:10:31.417","13.259574033897447265","74.073405278398055884","0.012604255649700539868"
"04/05/2026 08:10:36.430","11.790109744025301097","74.063594772960897217","0.0070116078081404985267"
"04/05/2026 08:10:41.444","16.793056455727949583","74.082220525965610136","0.0065278122156877949056"
"04/05/2026 08:10:46.466","17.706976592576150864","74.068215669614318131","0.00065253980675016997216"
"04/05/2026 08:10:51.491","10.448914219950244942","74.046817415870449963","0.00044942704916814304583"
"04/05/2026 08:10:56.515","12.286850078404853548","74.051082849980119249","0.0016993209743108015665"
"04/05/2026 08:11:01.523","13.12357248148074973","74.04518231610887824","0.030463870336673016387"
"04/05/2026 08:11:06.534","13.462228172977287244","73.98667476931277065","0.0063703974603831516055"
"04/05/2026 08:11:11.538","11.643212158557403768","74.02158025047313572","0.0042280577538030559084"
"04/05/2026 08:11:16.559","13.950046715570440625","74.02399733523465386","0.0032417174097276301586"
"04/05/2026 08:11:21.572","13.664582867558427992","74.011769745035977053","0.0063076294207922555674"
"04/05/2026 08:11:26.583","13.628395066360132759","74.017456982754509909","0.0010290456444783996001"
"04/05/2026 08:11:31.584","10.643601200113106842","74.005584855099584729","0.012028509560673878581"
"04/05/2026 08:11:36.630","13.610532993626577536","74.016746080950085229","0.0019090307128650984766"
"04/05/2026 08:11:41.657","22.642344448803697787","74.024210608104283438","0.0038584333379965813325"
"04/05/2026 08:11:46.696","45.860758173860205034","74.034234363128021528","0.0066452236632128279872"
"04/05/2026 08:11:52.941","57.568490233403913692","74.028831481474639986","0.011560157641703892872"
"04/05/2026 08:11:58.369","46.527776021202306822","74.024281691299819386","0.0033293201576781502465"
"04/05/2026 08:12:04.009","76.590160733629716105","74.183880066076270055","0.022825698118308587053"
